,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
287,0 days 01:03:31.255000,16,,1,1,0 days 00:24:06.937000,,,0 days 00:00:27.472000,0 days 00:00:23.517000,,0 days 01:03:07.805000,0 days 01:03:31.373000,281.0,271.0,291.0,293.0,SOFT,4.0,False,0 days 01:02:08.438000,Ferrari,LEC,1,False,2021-09-05 13:03:08.447
288,0 days 01:04:49.158000,16,0 days 00:01:17.903000,2,1,,,0 days 00:00:27.025000,0 days 00:00:27.076000,0 days 00:00:23.802000,0 days 01:03:58.280000,0 days 01:04:25.356000,0 days 01:04:49.158000,277.0,267.0,287.0,290.0,SOFT,5.0,False,0 days 01:03:31.255000,Ferrari,LEC,1,True,2021-09-05 13:04:31.264
289,0 days 01:06:06.220000,16,0 days 00:01:17.062000,3,1,,,0 days 00:00:26.621000,0 days 00:00:26.896000,0 days 00:00:23.545000,0 days 01:05:15.779000,0 days 01:05:42.675000,0 days 01:06:06.220000,,266.0,287.0,293.0,SOFT,6.0,False,0 days 01:04:49.158000,Ferrari,LEC,1,True,2021-09-05 13:05:49.167
290,0 days 01:07:23.198000,16,0 days 00:01:16.978000,4,1,,,0 days 00:00:26.852000,0 days 00:00:26.704000,0 days 00:00:23.422000,0 days 01:06:33.072000,0 days 01:06:59.776000,0 days 01:07:23.198000,274.0,267.0,288.0,,SOFT,7.0,False,0 days 01:06:06.220000,Ferrari,LEC,1,True,2021-09-05 13:07:06.229
291,0 days 01:08:39.779000,16,0 days 00:01:16.581000,5,1,,,0 days 00:00:26.586000,0 days 00:00:26.638000,0 days 00:00:23.357000,0 days 01:07:49.784000,0 days 01:08:16.422000,0 days 01:08:39.779000,,268.0,287.0,292.0,SOFT,8.0,False,0 days 01:07:23.198000,Ferrari,LEC,1,True,2021-09-05 13:08:23.207
292,0 days 01:09:56.376000,16,0 days 00:01:16.597000,6,1,,,0 days 00:00:26.429000,0 days 00:00:26.758000,0 days 00:00:23.410000,0 days 01:09:06.208000,0 days 01:09:32.966000,0 days 01:09:56.376000,,266.0,288.0,291.0,SOFT,9.0,False,0 days 01:08:39.779000,Ferrari,LEC,1,True,2021-09-05 13:09:39.788
293,0 days 01:11:12.972000,16,0 days 00:01:16.596000,7,1,,,0 days 00:00:26.622000,0 days 00:00:26.688000,0 days 00:00:23.286000,0 days 01:10:22.998000,0 days 01:10:49.686000,0 days 01:11:12.972000,275.0,267.0,287.0,289.0,SOFT,10.0,False,0 days 01:09:56.376000,Ferrari,LEC,1,True,2021-09-05 13:10:56.385
294,0 days 01:12:29.537000,16,0 days 00:01:16.565000,8,1,,,0 days 00:00:26.625000,0 days 00:00:26.605000,0 days 00:00:23.335000,0 days 01:11:39.597000,0 days 01:12:06.202000,0 days 01:12:29.537000,276.0,266.0,285.0,,SOFT,11.0,False,0 days 01:11:12.972000,Ferrari,LEC,1,True,2021-09-05 13:12:12.981
295,0 days 01:13:45.864000,16,0 days 00:01:16.327000,9,1,,,0 days 00:00:26.536000,0 days 00:00:26.585000,0 days 00:00:23.206000,0 days 01:12:56.073000,0 days 01:13:22.658000,0 days 01:13:45.864000,275.0,269.0,285.0,,SOFT,12.0,False,0 days 01:12:29.537000,Ferrari,LEC,1,True,2021-09-05 13:13:29.546
296,0 days 01:15:02.574000,16,0 days 00:01:16.710000,10,1,,,0 days 00:00:26.524000,0 days 00:00:26.724000,0 days 00:00:23.462000,0 days 01:14:12.388000,0 days 01:14:39.112000,0 days 01:15:02.574000,276.0,268.0,285.0,,SOFT,13.0,False,0 days 01:13:45.864000,Ferrari,LEC,1,True,2021-09-05 13:14:45.873
297,0 days 01:16:18.770000,16,0 days 00:01:16.196000,11,1,,,0 days 00:00:26.448000,0 days 00:00:26.618000,0 days 00:00:23.130000,0 days 01:15:29.022000,0 days 01:15:55.640000,0 days 01:16:18.770000,274.0,267.0,286.0,292.0,SOFT,14.0,False,0 days 01:15:02.574000,Ferrari,LEC,1,True,2021-09-05 13:16:02.583
298,0 days 01:17:35.100000,16,0 days 00:01:16.330000,12,1,,,0 days 00:00:26.386000,0 days 00:00:26.608000,0 days 00:00:23.336000,0 days 01:16:45.156000,0 days 01:17:11.764000,0 days 01:17:35.100000,276.0,267.0,286.0,293.0,SOFT,15.0,False,0 days 01:16:18.770000,Ferrari,LEC,1,True,2021-09-05 13:17:18.779
299,0 days 01:18:51.418000,16,0 days 00:01:16.318000,13,1,,,,0 days 00:00:26.626000,0 days 00:00:23.306000,,0 days 01:18:28.118000,0 days 01:18:51.536000,277.0,267.0,287.0,290.0,SOFT,16.0,False,0 days 01:17:35.100000,Ferrari,LEC,1,False,2021-09-05 13:18:35.109
300,0 days 01:20:07.691000,16,0 days 00:01:16.273000,14,1,,,0 days 00:00:26.300000,0 days 00:00:26.721000,0 days 00:00:23.252000,0 days 01:19:17.718000,0 days 01:19:44.439000,0 days 01:20:07.691000,278.0,268.0,291.0,297.0,SOFT,17.0,False,0 days 01:18:51.418000,Ferrari,LEC,1,True,2021-09-05 13:19:51.427
301,0 days 01:21:24.238000,16,0 days 00:01:16.547000,15,1,,,0 days 00:00:26.372000,0 days 00:00:26.948000,0 days 00:00:23.227000,0 days 01:20:34.063000,0 days 01:21:01.011000,0 days 01:21:24.238000,,267.0,287.0,292.0,SOFT,18.0,False,0 days 01:20:07.691000,Ferrari,LEC,1,True,2021-09-05 13:21:07.700
302,0 days 01:22:40.514000,16,0 days 00:01:16.276000,16,1,,,0 days 00:00:26.299000,0 days 00:00:26.784000,0 days 00:00:23.193000,0 days 01:21:50.537000,0 days 01:22:17.321000,0 days 01:22:40.514000,275.0,268.0,288.0,293.0,SOFT,19.0,False,0 days 01:21:24.238000,Ferrari,LEC,1,True,2021-09-05 13:22:24.247
303,0 days 01:23:56.930000,16,0 days 00:01:16.416000,17,1,,,0 days 00:00:26.298000,0 days 00:00:26.768000,0 days 00:00:23.350000,0 days 01:23:06.812000,0 days 01:23:33.580000,0 days 01:23:56.930000,276.0,267.0,287.0,292.0,SOFT,20.0,False,0 days 01:22:40.514000,Ferrari,LEC,1,True,2021-09-05 13:23:40.523
304,0 days 01:25:13.261000,16,0 days 00:01:16.331000,18,1,,,0 days 00:00:26.255000,0 days 00:00:26.857000,0 days 00:00:23.219000,0 days 01:24:23.185000,0 days 01:24:50.042000,0 days 01:25:13.261000,277.0,267.0,288.0,,SOFT,21.0,False,0 days 01:23:56.930000,Ferrari,LEC,1,True,2021-09-05 13:24:56.939
305,0 days 01:26:29.604000,16,0 days 00:01:16.343000,19,1,,,0 days 00:00:26.297000,0 days 00:00:26.811000,0 days 00:00:23.235000,0 days 01:25:39.558000,0 days 01:26:06.369000,0 days 01:26:29.604000,276.0,267.0,287.0,293.0,SOFT,22.0,False,0 days 01:25:13.261000,Ferrari,LEC,1,True,2021-09-05 13:26:13.270
306,0 days 01:27:45.842000,16,0 days 00:01:16.238000,20,1,,,0 days 00:00:26.294000,0 days 00:00:26.754000,0 days 00:00:23.190000,0 days 01:26:55.898000,0 days 01:27:22.652000,0 days 01:27:45.842000,277.0,266.0,288.0,291.0,SOFT,23.0,False,0 days 01:26:29.604000,Ferrari,LEC,1,True,2021-09-05 13:27:29.613
307,0 days 01:29:02.049000,16,0 days 00:01:16.207000,21,1,,,0 days 00:00:26.204000,0 days 00:00:26.854000,0 days 00:00:23.149000,0 days 01:28:12.046000,0 days 01:28:38.900000,0 days 01:29:02.049000,,267.0,289.0,293.0,SOFT,24.0,False,0 days 01:27:45.842000,Ferrari,LEC,1,True,2021-09-05 13:28:45.851
