,Date,Status,X,Y,Z,Source,Time,SessionTime
0,2022-03-20 14:01:03.362,OnTrack,0,0,0,pos,0 days 00:00:03.345000,0 days 00:00:03.345000
1,2022-03-20 14:01:03.702,OnTrack,0,0,0,pos,0 days 00:00:03.685000,0 days 00:00:03.685000
2,2022-03-20 14:01:04.002,OnTrack,0,0,0,pos,0 days 00:00:03.985000,0 days 00:00:03.985000
3,2022-03-20 14:01:04.322,OnTrack,0,0,0,pos,0 days 00:00:04.305000,0 days 00:00:04.305000
4,2022-03-20 14:01:04.602,OnTrack,0,0,0,pos,0 days 00:00:04.585000,0 days 00:00:04.585000
5,2022-03-20 14:01:04.881,OnTrack,0,0,0,pos,0 days 00:00:04.864000,0 days 00:00:04.864000
6,2022-03-20 14:01:05.101,OnTrack,0,0,0,pos,0 days 00:00:05.084000,0 days 00:00:05.084000
7,2022-03-20 14:01:05.421,OnTrack,0,0,0,pos,0 days 00:00:05.404000,0 days 00:00:05.404000
8,2022-03-20 14:01:05.621,OnTrack,0,0,0,pos,0 days 00:00:05.604000,0 days 00:00:05.604000
9,2022-03-20 14:01:05.961,OnTrack,0,0,0,pos,0 days 00:00:05.944000,0 days 00:00:05.944000
10,2022-03-20 14:01:06.261,OnTrack,0,0,0,pos,0 days 00:00:06.244000,0 days 00:00:06.244000
11,2022-03-20 14:01:06.541,OnTrack,0,0,0,pos,0 days 00:00:06.524000,0 days 00:00:06.524000
12,2022-03-20 14:01:06.861,OnTrack,0,0,0,pos,0 days 00:00:06.844000,0 days 00:00:06.844000
13,2022-03-20 14:01:07.301,OnTrack,0,0,0,pos,0 days 00:00:07.284000,0 days 00:00:07.284000
14,2022-03-20 14:01:07.521,OnTrack,0,0,0,pos,0 days 00:00:07.504000,0 days 00:00:07.504000
15,2022-03-20 14:01:07.701,OnTrack,0,0,0,pos,0 days 00:00:07.684000,0 days 00:00:07.684000
16,2022-03-20 14:01:07.981,OnTrack,0,0,0,pos,0 days 00:00:07.964000,0 days 00:00:07.964000
17,2022-03-20 14:01:08.161,OnTrack,0,0,0,pos,0 days 00:00:08.144000,0 days 00:00:08.144000
18,2022-03-20 14:01:08.261,OnTrack,0,0,0,pos,0 days 00:00:08.244000,0 days 00:00:08.244000
19,2022-03-20 14:01:08.541,OnTrack,0,0,0,pos,0 days 00:00:08.524000,0 days 00:00:08.524000
20,2022-03-20 14:01:09.001,OnTrack,0,0,0,pos,0 days 00:00:08.984000,0 days 00:00:08.984000
21,2022-03-20 14:01:09.942,OnTrack,0,0,0,pos,0 days 00:00:09.925000,0 days 00:00:09.925000
22,2022-03-20 14:01:10.102,OnTrack,0,0,0,pos,0 days 00:00:10.085000,0 days 00:00:10.085000
23,2022-03-20 14:01:10.382,OnTrack,0,0,0,pos,0 days 00:00:10.365000,0 days 00:00:10.365000
24,2022-03-20 14:01:10.722,OnTrack,0,0,0,pos,0 days 00:00:10.705000,0 days 00:00:10.705000
25,2022-03-20 14:01:11.042,OnTrack,0,0,0,pos,0 days 00:00:11.025000,0 days 00:00:11.025000
26,2022-03-20 14:01:11.381,OnTrack,0,0,0,pos,0 days 00:00:11.364000,0 days 00:00:11.364000
27,2022-03-20 14:01:11.661,OnTrack,0,0,0,pos,0 days 00:00:11.644000,0 days 00:00:11.644000
28,2022-03-20 14:01:11.861,OnTrack,0,0,0,pos,0 days 00:00:11.844000,0 days 00:00:11.844000
29,2022-03-20 14:01:12.081,OnTrack,0,0,0,pos,0 days 00:00:12.064000,0 days 00:00:12.064000
30,2022-03-20 14:01:12.301,OnTrack,0,0,0,pos,0 days 00:00:12.284000,0 days 00:00:12.284000
31,2022-03-20 14:01:12.441,OnTrack,0,0,0,pos,0 days 00:00:12.424000,0 days 00:00:12.424000
32,2022-03-20 14:01:12.621,OnTrack,0,0,0,pos,0 days 00:00:12.604000,0 days 00:00:12.604000
33,2022-03-20 14:01:12.941,OnTrack,0,0,0,pos,0 days 00:00:12.924000,0 days 00:00:12.924000
34,2022-03-20 14:01:13.161,OnTrack,0,0,0,pos,0 days 00:00:13.144000,0 days 00:00:13.144000
35,2022-03-20 14:01:13.361,OnTrack,0,0,0,pos,0 days 00:00:13.344000,0 days 00:00:13.344000
36,2022-03-20 14:01:13.581,OnTrack,0,0,0,pos,0 days 00:00:13.564000,0 days 00:00:13.564000
37,2022-03-20 14:01:13.821,OnTrack,0,0,0,pos,0 days 00:00:13.804000,0 days 00:00:13.804000
38,2022-03-20 14:01:14.101,OnTrack,0,0,0,pos,0 days 00:00:14.084000,0 days 00:00:14.084000
39,2022-03-20 14:01:14.361,OnTrack,0,0,0,pos,0 days 00:00:14.344000,0 days 00:00:14.344000
40,2022-03-20 14:01:14.521,OnTrack,0,0,0,pos,0 days 00:00:14.504000,0 days 00:00:14.504000
41,2022-03-20 14:01:14.881,OnTrack,0,0,0,pos,0 days 00:00:14.864000,0 days 00:00:14.864000
42,2022-03-20 14:01:15.201,OnTrack,0,0,0,pos,0 days 00:00:15.184000,0 days 00:00:15.184000
43,2022-03-20 14:01:15.421,OnTrack,0,0,0,pos,0 days 00:00:15.404000,0 days 00:00:15.404000
44,2022-03-20 14:01:15.721,OnTrack,0,0,0,pos,0 days 00:00:15.704000,0 days 00:00:15.704000
45,2022-03-20 14:01:16.041,OnTrack,0,0,0,pos,0 days 00:00:16.024000,0 days 00:00:16.024000
46,2022-03-20 14:01:16.201,OnTrack,0,0,0,pos,0 days 00:00:16.184000,0 days 00:00:16.184000
47,2022-03-20 14:01:16.422,OnTrack,0,0,0,pos,0 days 00:00:16.405000,0 days 00:00:16.405000
48,2022-03-20 14:01:16.702,OnTrack,0,0,0,pos,0 days 00:00:16.685000,0 days 00:00:16.685000
49,2022-03-20 14:01:16.902,OnTrack,0,0,0,pos,0 days 00:00:16.885000,0 days 00:00:16.885000
50,2022-03-20 14:01:17.102,OnTrack,0,0,0,pos,0 days 00:00:17.085000,0 days 00:00:17.085000
51,2022-03-20 14:01:17.442,OnTrack,0,0,0,pos,0 days 00:00:17.425000,0 days 00:00:17.425000
52,2022-03-20 14:01:17.502,OnTrack,0,0,0,pos,0 days 00:00:17.485000,0 days 00:00:17.485000
53,2022-03-20 14:01:17.722,OnTrack,0,0,0,pos,0 days 00:00:17.705000,0 days 00:00:17.705000
54,2022-03-20 14:01:17.961,OnTrack,0,0,0,pos,0 days 00:00:17.944000,0 days 00:00:17.944000
55,2022-03-20 14:01:18.161,OnTrack,0,0,0,pos,0 days 00:00:18.144000,0 days 00:00:18.144000
56,2022-03-20 14:01:18.481,OnTrack,0,0,0,pos,0 days 00:00:18.464000,0 days 00:00:18.464000
57,2022-03-20 14:01:18.901,OnTrack,0,0,0,pos,0 days 00:00:18.884000,0 days 00:00:18.884000
58,2022-03-20 14:01:19.121,OnTrack,0,0,0,pos,0 days 00:00:19.104000,0 days 00:00:19.104000
59,2022-03-20 14:01:19.321,OnTrack,0,0,0,pos,0 days 00:00:19.304000,0 days 00:00:19.304000
60,2022-03-20 14:01:19.481,OnTrack,0,0,0,pos,0 days 00:00:19.464000,0 days 00:00:19.464000
61,2022-03-20 14:01:19.741,OnTrack,0,0,0,pos,0 days 00:00:19.724000,0 days 00:00:19.724000
62,2022-03-20 14:01:20.021,OnTrack,0,0,0,pos,0 days 00:00:20.004000,0 days 00:00:20.004000
63,2022-03-20 14:01:20.241,OnTrack,0,0,0,pos,0 days 00:00:20.224000,0 days 00:00:20.224000
64,2022-03-20 14:01:20.581,OnTrack,0,0,0,pos,0 days 00:00:20.564000,0 days 00:00:20.564000
65,2022-03-20 14:01:20.821,OnTrack,0,0,0,pos,0 days 00:00:20.804000,0 days 00:00:20.804000
66,2022-03-20 14:01:21.161,OnTrack,0,0,0,pos,0 days 00:00:21.144000,0 days 00:00:21.144000
67,2022-03-20 14:01:21.441,OnTrack,0,0,0,pos,0 days 00:00:21.424000,0 days 00:00:21.424000
68,2022-03-20 14:01:21.741,OnTrack,0,0,0,pos,0 days 00:00:21.724000,0 days 00:00:21.724000
69,2022-03-20 14:01:22.041,OnTrack,0,0,0,pos,0 days 00:00:22.024000,0 days 00:00:22.024000
70,2022-03-20 14:01:22.241,OnTrack,0,0,0,pos,0 days 00:00:22.224000,0 days 00:00:22.224000
71,2022-03-20 14:01:22.621,OnTrack,0,0,0,pos,0 days 00:00:22.604000,0 days 00:00:22.604000
72,2022-03-20 14:01:22.901,OnTrack,0,0,0,pos,0 days 00:00:22.884000,0 days 00:00:22.884000
73,2022-03-20 14:01:23.142,OnTrack,0,0,0,pos,0 days 00:00:23.125000,0 days 00:00:23.125000
74,2022-03-20 14:01:23.502,OnTrack,0,0,0,pos,0 days 00:00:23.485000,0 days 00:00:23.485000
75,2022-03-20 14:01:23.562,OnTrack,0,0,0,pos,0 days 00:00:23.545000,0 days 00:00:23.545000
76,2022-03-20 14:01:23.882,OnTrack,0,0,0,pos,0 days 00:00:23.865000,0 days 00:00:23.865000
77,2022-03-20 14:01:24.302,OnTrack,0,0,0,pos,0 days 00:00:24.285000,0 days 00:00:24.285000
78,2022-03-20 14:01:24.741,OnTrack,0,0,0,pos,0 days 00:00:24.724000,0 days 00:00:24.724000
79,2022-03-20 14:01:25.161,OnTrack,0,0,0,pos,0 days 00:00:25.144000,0 days 00:00:25.144000
80,2022-03-20 14:01:25.481,OnTrack,0,0,0,pos,0 days 00:00:25.464000,0 days 00:00:25.464000
81,2022-03-20 14:01:25.701,OnTrack,0,0,0,pos,0 days 00:00:25.684000,0 days 00:00:25.684000
82,2022-03-20 14:01:25.861,OnTrack,0,0,0,pos,0 days 00:00:25.844000,0 days 00:00:25.844000
83,2022-03-20 14:01:26.201,OnTrack,0,0,0,pos,0 days 00:00:26.184000,0 days 00:00:26.184000
84,2022-03-20 14:01:26.381,OnTrack,0,0,0,pos,0 days 00:00:26.364000,0 days 00:00:26.364000
85,2022-03-20 14:01:26.621,OnTrack,0,0,0,pos,0 days 00:00:26.604000,0 days 00:00:26.604000
86,2022-03-20 14:01:26.961,OnTrack,0,0,0,pos,0 days 00:00:26.944000,0 days 00:00:26.944000
87,2022-03-20 14:01:27.161,OnTrack,0,0,0,pos,0 days 00:00:27.144000,0 days 00:00:27.144000
88,2022-03-20 14:01:27.361,OnTrack,0,0,0,pos,0 days 00:00:27.344000,0 days 00:00:27.344000
89,2022-03-20 14:01:27.601,OnTrack,0,0,0,pos,0 days 00:00:27.584000,0 days 00:00:27.584000
90,2022-03-20 14:01:27.761,OnTrack,0,0,0,pos,0 days 00:00:27.744000,0 days 00:00:27.744000
91,2022-03-20 14:01:28.021,OnTrack,0,0,0,pos,0 days 00:00:28.004000,0 days 00:00:28.004000
92,2022-03-20 14:01:28.261,OnTrack,0,0,0,pos,0 days 00:00:28.244000,0 days 00:00:28.244000
93,2022-03-20 14:01:28.661,OnTrack,0,0,0,pos,0 days 00:00:28.644000,0 days 00:00:28.644000
94,2022-03-20 14:01:28.881,OnTrack,0,0,0,pos,0 days 00:00:28.864000,0 days 00:00:28.864000
95,2022-03-20 14:01:29.081,OnTrack,0,0,0,pos,0 days 00:00:29.064000,0 days 00:00:29.064000
96,2022-03-20 14:01:30.042,OnTrack,0,0,0,pos,0 days 00:00:30.025000,0 days 00:00:30.025000
97,2022-03-20 14:01:30.242,OnTrack,0,0,0,pos,0 days 00:00:30.225000,0 days 00:00:30.225000
98,2022-03-20 14:01:30.522,OnTrack,0,0,0,pos,0 days 00:00:30.505000,0 days 00:00:30.505000
99,2022-03-20 14:01:30.762,OnTrack,0,0,0,pos,0 days 00:00:30.745000,0 days 00:00:30.745000
100,2022-03-20 14:01:31.041,OnTrack,0,0,0,pos,0 days 00:00:31.024000,0 days 00:00:31.024000
101,2022-03-20 14:01:31.501,OnTrack,0,0,0,pos,0 days 00:00:31.484000,0 days 00:00:31.484000
102,2022-03-20 14:01:31.621,OnTrack,0,0,0,pos,0 days 00:00:31.604000,0 days 00:00:31.604000
103,2022-03-20 14:01:31.821,OnTrack,0,0,0,pos,0 days 00:00:31.804000,0 days 00:00:31.804000
104,2022-03-20 14:01:32.021,OnTrack,0,0,0,pos,0 days 00:00:32.004000,0 days 00:00:32.004000
105,2022-03-20 14:01:32.241,OnTrack,0,0,0,pos,0 days 00:00:32.224000,0 days 00:00:32.224000
106,2022-03-20 14:01:32.441,OnTrack,0,0,0,pos,0 days 00:00:32.424000,0 days 00:00:32.424000
