,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
174,0 days 01:04:00.024000,16,,1,1,0 days 00:24:03.528000,,,0 days 00:00:33.741000,0 days 00:00:25.856000,,0 days 01:03:34.214000,0 days 01:04:00.221000,273.0,285.0,234.0,281.0,INTERMEDIATE,1.0,True,0 days 01:02:21.737000,Ferrari,LEC,2,False,2021-10-10 12:03:21.750
175,0 days 01:05:34.820000,16,0 days 00:01:34.796000,2,1,,,0 days 00:00:35.526000,0 days 00:00:33.406000,0 days 00:00:25.864000,0 days 01:04:35.550000,0 days 01:05:08.956000,0 days 01:05:34.820000,275.0,288.0,234.0,296.0,INTERMEDIATE,2.0,True,0 days 01:04:00.024000,Ferrari,LEC,2,True,2021-10-10 12:05:00.037
176,0 days 01:07:09.686000,16,0 days 00:01:34.866000,3,1,,,0 days 00:00:35.231000,0 days 00:00:33.630000,0 days 00:00:26.005000,0 days 01:06:10.051000,0 days 01:06:43.681000,0 days 01:07:09.686000,269.0,285.0,233.0,301.0,INTERMEDIATE,3.0,True,0 days 01:05:34.820000,Ferrari,LEC,1,True,2021-10-10 12:06:34.833
177,0 days 01:08:44.426000,16,0 days 00:01:34.740000,4,1,,,0 days 00:00:35.324000,0 days 00:00:33.462000,0 days 00:00:25.954000,0 days 01:07:45.010000,0 days 01:08:18.472000,0 days 01:08:44.426000,275.0,286.0,230.0,305.0,INTERMEDIATE,4.0,True,0 days 01:07:09.686000,Ferrari,LEC,1,True,2021-10-10 12:08:09.699
178,0 days 01:10:19.205000,16,0 days 00:01:34.779000,5,1,,,0 days 00:00:35.491000,0 days 00:00:33.293000,0 days 00:00:25.995000,0 days 01:09:19.917000,0 days 01:09:53.210000,0 days 01:10:19.205000,272.0,285.0,234.0,300.0,INTERMEDIATE,5.0,True,0 days 01:08:44.426000,Ferrari,LEC,1,True,2021-10-10 12:09:44.439
179,0 days 01:11:54.254000,16,0 days 00:01:35.049000,6,1,,,0 days 00:00:35.348000,0 days 00:00:33.652000,0 days 00:00:26.049000,0 days 01:10:54.553000,0 days 01:11:28.205000,0 days 01:11:54.254000,275.0,285.0,234.0,293.0,INTERMEDIATE,6.0,True,0 days 01:10:19.205000,Ferrari,LEC,1,True,2021-10-10 12:11:19.218
180,0 days 01:13:29.100000,16,0 days 00:01:34.846000,7,1,,,0 days 00:00:35.437000,0 days 00:00:33.366000,0 days 00:00:26.043000,0 days 01:12:29.691000,0 days 01:13:03.057000,0 days 01:13:29.100000,274.0,285.0,235.0,293.0,INTERMEDIATE,7.0,True,0 days 01:11:54.254000,Ferrari,LEC,1,True,2021-10-10 12:12:54.267
181,0 days 01:15:03.773000,16,0 days 00:01:34.673000,8,1,,,0 days 00:00:35.354000,0 days 00:00:33.381000,0 days 00:00:25.938000,0 days 01:14:04.454000,0 days 01:14:37.835000,0 days 01:15:03.773000,273.0,287.0,236.0,284.0,INTERMEDIATE,8.0,True,0 days 01:13:29.100000,Ferrari,LEC,1,True,2021-10-10 12:14:29.113
182,0 days 01:16:38.425000,16,0 days 00:01:34.652000,9,1,,,0 days 00:00:35.340000,0 days 00:00:33.424000,0 days 00:00:25.888000,0 days 01:15:39.113000,0 days 01:16:12.537000,0 days 01:16:38.425000,271.0,287.0,236.0,293.0,INTERMEDIATE,9.0,True,0 days 01:15:03.773000,Ferrari,LEC,1,True,2021-10-10 12:16:03.786
183,0 days 01:18:13.371000,16,0 days 00:01:34.946000,10,1,,,0 days 00:00:35.639000,0 days 00:00:33.379000,0 days 00:00:25.928000,0 days 01:17:14.064000,0 days 01:17:47.443000,0 days 01:18:13.371000,273.0,286.0,236.0,299.0,INTERMEDIATE,10.0,True,0 days 01:16:38.425000,Ferrari,LEC,1,True,2021-10-10 12:17:38.438
